holiday,temp,rain_1h,snow_1h,clouds_all,weather,traffic_volume,month,weekday,hour
0,0.6732153569286141,0.0,0.0,0.4,Clouds,5545,10,1,9
0,0.6894121175764849,0.0,0.0,0.75,Clouds,4516,10,1,10
0,0.6927114577084583,0.0,0.0,0.9,Clouds,4767,10,1,11
0,0.7009598080383923,0.0,0.0,0.9,Clouds,5026,10,1,12
0,0.7161067786442712,0.0,0.0,0.75,Clouds,4918,10,1,13
0,0.7248050389922018,0.0,0.0,0.01,Clear,5181,10,1,14
0,0.7465506898620275,0.0,0.0,0.01,Clear,5584,10,1,15
0,0.7568986202759453,0.0,0.0,0.01,Clear,6015,10,1,16
0,0.7610977804439112,0.0,0.0,0.2,Clouds,5791,10,1,17
0,0.7455008998200365,0.0,0.0,0.2,Clouds,4770,10,1,18
0,0.7135572885422925,0.0,0.0,0.2,Clouds,3539,10,1,19
0,0.6897120575884821,0.0,0.0,0.01,Clear,2784,10,1,20
0,0.6781643671265747,0.0,0.0,0.01,Clear,2361,10,1,21
0,0.656418716256749,0.0,0.0,0.01,Clear,1529,10,1,22
0,0.6307738452309537,0.0,0.0,0.01,Clear,963,10,1,23
0,0.6184763047390525,0.0,0.0,0.01,Clear,506,10,2,0
0,0.6010797840431921,0.0,0.0,0.01,Clear,321,10,2,1
0,0.5667366526694662,0.0,0.0,0.01,Clear,273,10,2,2
0,0.5653869226154771,0.0,0.0,0.01,Clear,367,10,2,3
0,0.5419916016796642,0.0,0.0,0.01,Clear,814,10,2,4
0,0.5283443311337739,0.0,0.0,0.01,Clear,2718,10,2,5
0,0.5224955008998209,0.0,0.0,0.01,Clear,5673,10,2,6
0,0.5208458308338337,0.0,0.0,0.01,Clear,6511,10,2,8
0,0.5862327534493104,0.0,0.0,0.01,Clear,5471,10,2,9
0,0.7285542891421719,0.0,0.0,0.01,Clear,5097,10,2,12
0,0.7474505098980209,0.0,0.0,0.01,Clear,4887,10,2,13
0,0.7636472705458908,0.0,0.0,0.01,Clear,5337,10,2,14
0,0.7765446910617881,0.0,0.0,0.01,Clear,5692,10,2,15
0,0.7759448110377929,0.0,0.0,0.01,Clear,6137,10,2,16
0,0.7538992201559691,0.0,0.0,0.2,Clouds,4623,10,2,18
0,0.7087582483503296,0.0,0.0,0.2,Clouds,3591,10,2,19
0,0.671865626874625,0.0,0.0,0.2,Clouds,2898,10,2,20
0,0.6555188962207565,0.0,0.0,0.01,Clear,2637,10,2,21
0,0.6427714457108578,0.0,0.0,0.01,Clear,1777,10,2,22
0,0.6279244151169769,0.0,0.0,0.01,Clear,1015,10,2,23
0,0.617276544691062,0.0,0.0,0.01,Clear,598,10,3,0
0,0.6010797840431921,0.0,0.0,0.01,Clear,369,10,3,1
0,0.5965806838632282,0.0,0.0,0.01,Clear,312,10,3,2
0,0.5796340731853635,0.0,0.0,0.01,Clear,367,10,3,3
0,0.5743851229754049,0.0,0.0,0.01,Clear,835,10,3,4
0,0.5688362327534491,0.0,0.0,0.01,Clear,2726,10,3,5
0,0.5601379724055193,0.0,0.0,0.01,Clear,5689,10,3,6
0,0.5575884823035397,0.0,0.0,0.01,Clear,6990,10,3,7
0,0.5769346130773845,0.0,0.0,0.01,Clear,5985,10,3,8
0,0.6237252549490102,0.0,0.0,0.01,Clear,5309,10,3,9
0,0.6867126574685067,0.0,0.0,0.01,Clear,4603,10,3,10
0,0.7222555488902223,0.0,0.0,0.01,Clear,4884,10,3,11
0,0.7735452909418119,0.0,0.0,0.01,Clear,5104,10,3,12
0,0.7946910617876424,0.0,0.0,0.01,Clear,5178,10,3,13
